IH01,IH02,IH03,IH04,IH05,IH06,IH07,IH08,IH09,IH10,IH11,IH12,IH13,IH14,IH15,IH16,IH17,IH18,IH19,IH20,IH21,IH22,IH23,GRIT01,GRIT02,GRIT03,GRIT04,GRIT05,GRIT06,GRIT07,GRIT08,OCQ01,OCQ02,OCQ03,OCQ04,OCQ05,OCQ06,OCQ07,OCQ08,OCQ09,OCQ10,OCQ11,OCQ12,OCQ13,OCQ14,OCQ15,OCQ16,OCQ17,OCQ18,OCQ19,OCQ20,OCQ21,OCQ22,OCQ23,OCQ24,OCQ25,OCQ26,OCQ27,OCQ28,OCQ29,OCQ30,OCQ31,OCQ32,OCQ33,OCQ34,OCQ35,OCQ36,OCQ37,OCQ38,OCQ39,OCQ40,OCQ41,OCQ42,OCQ43,OCQ44,OCQ45,OCQ46,OCQ47,OCQ48,OCQ49,OCQ50,OCQ51,OCQ52,OCQ53,OCQ54,OCQ55,OCQ56,OCQ57,OCQ58,OCQ59,OCQ60,OCQ61,OCQ62,OCQ63,OCQ64,OCQ65,OCQ66,OCQ67,OCQ68,OCQ69,OCQ70,OCQ71,OCQ72,OCQ73,OCQ74,OCQ75,OCQ76,OCQ77,OCQ78,OCQ79,OCQ80,OCQ81,OCQ82,OCQ83,OCQ84,OCQ85,OCQ86,OCQ87,OCQ88,OCQ89,OCQ90,OCQ91,OCQ92,OCQ93,OCQ94,OCQ95,OCQ96,OCQ97,OCQ98,OCQ99,OCQ100,OCQ101,OCQ102,OCQ103,OCQ104,OCQ105,OCQ106,OCQ107,OCQ108,OCQ109,OCQ110,OCQ111,OCQ112,OCQ113,OCQ114,OCQ115,OCQ116,OCQ117,OCQ118,OCQ119,OCQ120,OCQ121,OCQ122,OCQ123,OCQ124,OCQ125,OCQ126,OCQ127,OCQ128,OCQ129,OCQ130,OCQ131,OCQ132,OCQ133,OCQ134,OCQ135,OCQ136,OCQ137,OCQ138,OCQ139,OCQ140,OCQ141,OCQ142,OCQ143,OCQ144,OCQ145,OCQ146,OCQ147,OCQ148,OCQ149,OCQ150,BIDR1,BIDR2,BIDR3,BIDR4,BIDR5,BIDR6,BIDR7,BIDR8,BIDR9,BIDR10,BIDR11,BIDR12,BIDR13,BIDR14,BIDR15,BIDR16,BIDR17,BIDR18,BIDR19,BIDR20,BIDR21,BIDR22,BIDR23,BIDR24,BIDR25,BIDR26,BIDR27,BIDR28,BIDR29,BIDR30,BIDR31,BIDR32,BIDR33,BIDR34,BIDR35,BIDR36,BIDR37,BIDR38,BIDR39,BIDR40,NAR1,NAR2,NAR3,NAR4,NAR5,NAR6,NAR7,NAR8,NAR9,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,SE9,SE10,GRIT01R,GRIT03R,GRIT05R,GRIT06R,GRIT,IH01R,IH03R,IH05R,IH07R,IH10R,IH19R,IH20R,IH23R,IH14R,OCQFA,OCQHITS,MODESTY,VANITY,RESILIEN,BOREDOM,OCQ_ACC,OCQ_BIAS,BIDRX1,BIDRX2,BIDRX3,BIDRX4,BIDRX5,BIDRX6,BIDRX7,BIDRX8,BIDRX9,BIDRX10,BIDRX11,BIDRX12,BIDRX13,BIDRX14,BIDRX15,BIDRX16,BIDRX17,BIDRX18,BIDRX19,BIDRX20,BIDRX21,BIDRX22,BIDRX23,BIDRX24,BIDRX25,BIDRX26,BIDRX27,BIDRX28,BIDRX29,BIDRX30,BIDRX31,BIDRX32,BIDRX33,BIDRX34,BIDRX35,BIDRX36,BIDRX37,BIDRX38,BIDRX39,BIDRX40,BIDR_SDE,BIDR_IM,NAR2R,NAR6R,NAR8R,NAR_SUM,SE2R,SE5R,SE6R,SE8R,SE9R,SE_SUM
2,7,2,6,1,7,2,6,6,2,6,6,5,5,4,5,2,4,5,2,3,2,5,4,3,4,1,4,3,4,3,3,2,1,1,1,4,1,2,1,1,1,3,1,3,4,5,5,1,4,1,5,1,1,2,2,1,2,4,5,4,5,5,5,4,5,5,4,2,5,5,3,1,5,5,5,4,4,4,5,4,1,5,4,4,5,5,5,4,1,5,4,5,5,4,1,5,5,1,1,1,5,5,5,1,1,1,5,4,1,4,2,2,5,5,3,1,5,2,5,5,4,4,4,2,4,*,4,3,3,2,2,1,3,3,4,5,4,5,5,3,4,4,3,3,5,5,4,1,1,5,1,5,5,5,5,4,2,1,5,5,4,1,1,5,5,1,5,2,5,4,2,1,4,1,4,1,5,5,4,1,5,4,2,4,2,4,2,2,2,3,1,3,4,6,5,3,4,2,5,4,3,3,6,5,6,5,2,2,7,7,2,4,2,3,4,2,1,7,7,5,4,5,2,2,2,5,2,4,1,2,3,3,3,3,4,2,3,4,2,2,2,2,3,20,6,6,7,6,6,3,6,3,3,9,*,39,36,17,23,*,*,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,6,1,1,2,17,2,2,1,2,1,20
2,6,3,5,1,6,*,*,4,6,4,4,6,*,6,2,6,*,4,*,6,*,4,3,4,4,2,3,3,3,3,5,1,3,1,1,5,2,1,1,1,1,4,1,4,1,5,4,1,4,1,5,1,3,4,1,3,3,5,4,1,3,4,1,4,4,4,2,3,4,5,4,1,5,5,5,1,5,5,5,5,1,1,1,1,5,5,5,5,2,5,5,1,5,3,1,5,5,1,3,3,1,1,2,1,1,1,5,5,1,5,1,3,5,5,1,5,5,1,5,1,5,5,5,3,4,3,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,3,5,5,1,5,5,5,5,5,5,1,5,5,5,1,3,5,5,5,5,3,4,5,1,1,2,1,5,3,5,1,2,1,6,3,2,6,6,2,7,1,5,1,2,3,4,3,6,3,6,7,3,5,5,3,4,2,7,7,1,1,7,7,5,3,7,6,1,6,6,6,5,1,3,2,3,4,3,1,4,5,4,3,1,4,4,1,1,4,4,1,3,3,2,3,3,23,6,5,7,*,2,4,*,4,*,17,91,35,*,*,*,0.192,1.325,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,1,1,0,0,7,9,4,5,1,31,4,4,4,1,4,35
2,6,2,6,2,6,5,4,5,2,4,4,3,5,3,3,2,2,5,1,3,6,3,3,4,4,2,4,3,3,3,4,1,1,1,1,4,1,1,1,1,1,3,1,1,2,4,3,1,2,1,5,1,1,2,2,1,1,3,4,1,5,3,4,2,4,2,1,3,5,5,3,2,5,5,5,3,1,5,5,1,1,3,1,1,5,1,5,4,1,4,*,1,1,1,1,1,5,1,1,4,1,3,4,1,1,2,3,4,1,2,1,1,5,3,1,3,3,1,3,5,5,5,4,3,4,3,3,4,3,2,4,1,4,4,5,4,4,2,4,2,4,1,2,2,2,2,2,2,2,3,1,5,5,1,1,1,5,4,2,2,1,1,2,5,5,1,5,1,2,2,1,1,2,1,4,1,4,2,2,2,4,3,3,2,4,3,3,2,6,5,2,6,5,6,6,5,*,*,*,*,*,*,*,*,5,6,4,6,6,6,7,6,3,1,2,6,6,5,6,5,2,4,2,1,3,4,1,5,1,3,3,3,4,2,3,3,4,2,2,3,2,2,3,22,6,6,6,3,6,3,7,5,3,10,*,36,26,24,16,*,*,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,*,*,*,*,*,*,*,*,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,*,*,2,2,1,15,2,3,2,1,3,26
2,6,2,6,2,6,6,4,2,6,2,2,3,2,5,5,2,2,2,2,6,6,2,2,2,5,4,3,2,5,5,4,1,1,1,3,5,1,2,1,1,1,4,1,4,1,5,4,1,3,1,5,1,1,2,1,1,1,1,5,2,3,3,2,2,5,5,5,4,5,5,1,1,5,5,5,1,1,5,5,1,1,1,1,3,5,1,5,1,3,5,3,1,5,*,1,1,5,1,5,4,4,4,5,1,1,4,5,4,1,5,1,1,5,5,1,2,5,3,5,5,4,5,5,1,5,5,5,5,5,1,4,3,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,1,5,5,1,5,5,5,5,1,1,1,4,5,5,1,4,5,5,4,5,1,5,5,1,1,1,1,5,1,5,1,5,5,6,4,6,1,2,4,2,6,4,6,2,2,2,6,5,3,6,6,6,3,3,2,6,1,5,4,4,5,3,1,7,1,1,3,2,5,1,3,2,2,2,5,1,1,1,5,1,5,3,3,1,3,3,1,2,4,2,1,3,4,1,3,4,28,6,6,6,2,2,6,6,6,6,10,*,36,14,30,23,*,*,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,2,1,1,1,12,4,4,3,3,4,34
2,6,2,6,1,6,6,4,2,6,2,3,3,6,3,3,3,1,2,3,5,5,2,3,4,5,3,3,3,3,4,4,1,1,1,1,5,1,1,1,1,1,3,1,4,4,5,4,1,3,1,5,1,1,3,1,1,3,1,3,1,3,4,4,1,4,3,2,2,4,5,1,1,5,5,5,1,1,5,4,4,1,3,1,1,4,3,4,4,1,4,3,1,1,1,1,3,5,1,1,3,3,3,2,1,1,1,4,3,1,3,1,1,5,3,1,1,3,1,3,4,4,5,4,1,5,3,3,4,4,3,4,4,5,4,5,5,4,4,5,2,5,1,4,4,4,5,4,1,1,3,1,4,5,3,4,1,1,1,3,4,3,1,1,5,4,1,3,1,1,1,1,1,1,1,3,1,5,1,1,1,6,4,5,3,3,4,5,3,6,4,2,4,6,3,6,4,6,3,5,2,2,3,2,1,3,4,2,3,6,5,4,2,3,3,2,3,2,6,4,3,2,4,2,2,2,5,2,4,4,3,2,4,3,1,2,4,2,1,3,3,1,3,3,24,6,6,7,2,2,6,5,6,2,4,82,37,15,27,15,0.55,0.817,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,2,2,1,2,19,3,4,3,3,4,34
2,6,2,6,2,6,4,6,3,5,5,4,3,6,3,2,2,2,2,2,5,6,3,2,2,3,4,3,2,3,3,3,2,1,1,1,4,2,1,1,1,1,3,1,2,1,3,3,2,2,2,4,1,1,2,1,2,2,2,2,1,4,4,2,1,2,3,3,2,4,4,2,1,5,5,5,1,3,4,5,1,1,3,1,1,3,1,5,3,3,4,1,1,2,2,1,2,5,1,1,1,1,4,3,2,2,4,2,4,1,4,2,3,5,5,1,2,4,3,2,3,5,5,4,3,4,3,3,3,3,1,3,2,2,3,4,5,4,5,4,2,4,1,4,1,2,2,3,1,2,3,2,4,2,2,3,2,2,4,3,2,4,2,2,3,4,2,5,2,3,2,2,3,5,4,4,5,4,3,5,2,4,5,5,4,5,5,5,3,6,6,3,4,2,6,4,5,5,5,3,5,4,5,6,6,5,5,4,5,7,5,3,5,2,2,3,5,4,5,5,5,4,3,2,4,4,4,3,4,2,2,2,3,3,2,2,3,3,2,3,4,3,3,4,26,6,6,6,4,3,6,6,5,2,18,98,36,25,28,14,0.217,1.417,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,26,3,3,3,2,3,28
2,2,2,6,2,6,2,6,6,2,6,6,2,6,2,2,6,2,2,2,6,6,2,3,4,4,4,3,3,3,4,5,2,2,2,5,5,2,4,4,4,1,4,2,4,5,5,5,2,4,2,5,1,4,4,1,1,3,3,5,1,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,1,1,5,5,1,1,4,1,1,5,3,5,5,1,5,4,4,2,1,1,4,5,1,3,3,1,5,5,3,1,5,5,5,1,5,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,4,3,3,3,1,1,4,3,1,1,1,5,5,1,5,1,3,3,1,4,5,4,5,4,5,2,4,5,6,2,7,1,7,2,6,7,6,4,4,6,5,2,5,6,6,7,6,3,2,2,2,1,6,2,2,2,1,1,2,1,2,1,2,1,1,1,2,4,4,2,4,4,4,2,2,3,4,4,1,4,4,1,1,4,1,1,4,3,2,3,3,26,6,6,6,6,6,6,6,6,2,14,105,32,36,30,16,0.408,1.342,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,4,4,3,33,4,4,4,4,4,40
1,6,2,6,1,6,3,5,5,6,3,5,1,5,3,2,1,1,5,2,6,6,3,3,2,3,3,3,2,3,3,4,4,1,2,1,4,1,3,2,1,1,4,1,4,2,4,3,1,1,4,4,1,1,1,1,1,1,1,2,1,3,4,5,3,5,5,4,3,5,5,4,2,5,5,5,1,2,4,4,1,1,4,3,1,3,2,1,1,1,4,4,1,1,1,1,4,4,1,1,4,1,4,4,1,1,2,5,5,3,3,2,2,5,3,3,3,4,4,4,4,4,5,4,2,5,2,5,5,5,3,5,4,4,4,5,5,4,3,4,3,5,2,4,4,4,4,4,3,4,4,3,5,5,1,3,4,3,1,3,1,3,1,1,5,3,1,4,1,3,2,1,2,1,4,4,3,4,3,3,4,4,4,6,3,5,3,5,5,4,3,3,6,3,4,5,5,6,5,6,5,2,3,3,1,3,5,7,5,5,4,3,4,2,2,3,4,7,5,5,7,2,5,1,1,2,5,2,2,4,3,1,3,4,1,1,4,1,1,3,3,3,3,4,24,7,6,7,5,2,3,6,5,3,16,93,38,25,26,11,0.242,1.308,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,1,1,4,18,4,4,4,4,4,37
7,1,7,1,7,4,2,7,7,4,6,7,7,1,7,7,6,7,7,7,1,4,4,5,5,3,1,5,5,1,3,5,1,1,1,1,5,1,2,1,1,1,1,1,1,1,5,5,1,5,1,5,1,1,1,1,1,5,1,5,1,5,5,1,1,5,1,1,1,1,5,1,1,5,5,5,1,1,5,5,1,1,1,1,1,5,1,5,1,1,5,5,1,5,1,1,5,5,1,1,1,1,5,1,1,1,1,5,5,1,1,1,1,5,5,1,1,1,1,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,*,1,5,5,5,5,1,1,5,1,1,5,5,5,1,1,1,1,1,1,1,1,5,5,1,5,1,1,1,1,1,1,1,5,1,5,1,1,1,4,1,6,1,1,1,7,1,1,1,1,4,1,4,1,1,1,1,2,1,1,1,5,1,1,6,2,5,1,7,1,1,1,7,1,5,1,1,1,3,1,5,1,1,1,4,1,3,1,1,4,1,1,4,4,1,3,4,1,1,3,1,1,16,1,1,1,6,4,1,1,4,7,*,*,9,37,11,41,*,*,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3,1,2,3,12,1,1,1,2,1,11
2,7,1,7,1,7,6,5,2,7,2,2,4,6,4,4,2,2,2,2,6,4,2,2,3,4,3,2,2,3,4,5,1,3,1,1,5,2,2,1,1,1,3,1,3,2,4,5,1,3,1,5,1,1,1,1,1,2,1,4,1,3,4,5,2,4,2,1,1,5,5,1,1,4,5,5,1,1,3,5,1,1,4,1,1,4,1,4,1,1,4,4,1,1,1,1,3,4,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,4,2,1,1,1,3,3,4,4,4,4,1,3,3,3,2,2,1,3,1,1,2,4,4,3,1,3,1,4,1,1,2,4,1,4,1,1,1,1,5,4,4,3,1,1,1,3,4,4,1,1,4,4,1,4,1,1,1,1,1,1,1,3,1,4,1,4,1,4,2,5,4,3,4,3,5,5,5,4,5,2,6,5,6,5,6,5,4,4,4,5,1,7,6,4,3,4,5,7,2,3,2,4,7,4,4,6,2,2,3,2,2,3,2,2,4,4,3,1,3,3,2,2,3,2,2,3,4,2,4,4,27,6,7,7,2,1,6,6,6,2,3,70,41,14,28,18,0.483,0.683,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,5,3,4,2,24,4,3,3,3,3,31
1,7,1,7,1,7,7,1,1,7,1,1,1,3,1,1,7,1,1,1,7,7,1,5,2,5,2,5,5,3,3,5,1,1,1,1,5,1,1,1,1,1,1,1,3,1,5,5,1,1,1,5,1,1,3,1,1,2,1,1,1,1,3,2,1,1,1,5,1,1,5,1,1,5,5,5,1,1,1,5,1,1,1,1,1,5,1,5,1,1,3,1,1,1,1,1,5,5,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,5,3,3,3,1,1,3,1,5,5,3,1,3,1,3,3,1,3,1,1,1,1,5,5,5,1,5,1,5,1,1,1,5,5,5,5,5,1,1,1,5,5,5,1,1,1,5,5,1,1,1,5,5,1,3,1,1,1,1,1,3,1,3,1,3,1,1,1,4,4,3,5,7,1,7,7,1,5,1,7,7,7,7,7,3,7,3,7,5,7,4,4,7,7,4,1,7,7,7,7,5,4,5,7,4,7,3,3,2,5,2,2,2,5,2,5,2,3,1,4,4,1,1,4,4,1,3,1,1,1,1,14,7,7,7,1,1,7,7,7,5,3,53,42,6,35,16,0.342,0.542,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,10,9,1,1,1,15,4,4,4,1,4,35
3,4,3,4,2,4,6,5,2,4,5,5,5,7,4,3,5,5,5,4,4,5,4,3,4,4,3,3,2,3,4,5,5,3,5,5,5,2,5,5,5,1,5,2,5,5,5,5,3,4,2,5,1,1,4,2,1,1,3,4,1,3,5,5,1,5,5,2,3,5,5,4,1,5,5,5,1,1,5,5,5,1,5,5,4,5,5,5,5,1,5,3,4,3,5,2,3,5,1,4,4,5,2,5,1,1,5,5,5,1,5,2,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,3,5,2,5,*,3,3,4,4,5,1,4,5,3,5,5,5,5,5,5,5,5,5,5,1,3,5,5,2,5,1,4,4,1,3,4,5,5,4,5,5,5,5,4,2,4,2,5,4,5,5,6,3,3,4,1,4,5,5,5,3,6,3,4,2,5,1,4,3,3,2,4,7,5,1,1,7,2,6,1,7,2,5,2,5,1,1,1,3,1,2,3,3,2,4,4,1,2,4,3,2,3,3,2,3,4,26,5,5,6,2,4,3,4,4,1,*,*,28,23,20,23,*,*,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,2,4,1,3,4,17,3,4,3,2,3,33
5,6,3,5,1,6,1,4,5,2,5,4,3,5,3,2,2,2,3,3,5,6,2,2,2,5,5,2,1,5,5,5,2,1,1,5,5,2,1,2,2,1,5,1,3,5,5,5,2,5,5,5,2,1,3,2,1,3,5,5,3,3,4,4,4,5,4,3,4,4,5,3,3,5,5,5,2,2,5,5,5,2,1,1,1,5,2,5,3,3,4,5,2,3,3,1,5,5,5,5,3,1,2,1,2,1,1,2,5,3,5,2,5,5,5,5,4,5,5,5,3,5,5,5,2,5,2,5,5,5,2,2,3,5,5,5,5,5,1,5,2,5,5,3,2,5,5,5,3,5,5,1,5,5,5,5,5,2,2,5,5,5,2,2,5,5,1,5,1,1,2,1,2,1,3,5,2,5,1,2,3,6,5,6,3,6,5,5,3,5,5,3,5,6,5,6,3,6,7,7,5,5,5,7,1,6,4,4,6,3,6,7,1,2,1,2,7,7,6,6,6,3,2,2,2,3,2,2,5,3,4,1,4,4,2,1,4,2,1,4,4,1,4,5,31,3,5,7,7,6,5,5,6,3,24,103,32,31,27,15,0.058,1.658,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,8,10,4,4,1,24,4,3,4,3,4,38
4,6,2,5,3,6,5,2,4,6,3,4,5,4,3,3,3,3,5,5,2,2,3,3,4,5,3,4,4,5,5,5,3,1,1,1,5,2,1,3,1,1,5,1,4,2,5,5,2,3,1,5,1,1,1,4,4,1,1,5,5,5,5,5,5,5,5,5,4,5,5,4,2,5,5,5,5,2,5,5,3,1,4,5,5,5,5,4,5,2,5,5,5,5,5,2,5,5,1,5,5,5,5,5,1,1,2,4,5,4,5,1,5,5,5,4,2,5,1,5,5,5,5,5,1,5,3,4,5,5,2,5,3,5,5,5,5,5,1,5,2,5,1,5,3,5,5,5,1,5,5,1,5,5,5,5,5,5,5,5,5,5,1,1,5,5,4,5,1,4,4,5,1,5,5,5,2,5,5,2,4,6,4,5,3,6,3,4,4,6,3,5,2,4,5,5,5,6,3,5,3,3,3,2,4,3,5,4,3,4,6,5,6,3,6,3,5,1,4,3,6,4,3,3,3,4,4,2,5,4,4,1,3,3,1,1,3,1,1,4,3,1,2,2,25,4,6,5,3,2,3,3,5,4,16,106,32,18,15,21,0.35,1.417,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,4,4,3,2,1,26,4,4,4,4,4,37
2,6,2,6,2,6,5,5,3,6,4,4,2,6,2,2,2,2,2,2,5,5,2,2,2,4,3,2,2,4,4,4,4,2,2,4,5,2,2,4,4,2,5,2,4,2,4,4,1,4,1,4,1,1,1,1,1,2,1,4,2,4,5,5,4,5,5,4,2,5,5,4,4,5,5,5,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,4,2,2,2,4,2,4,2,1,4,4,5,2,4,3,4,5,5,5,5,5,5,2,4,4,5,5,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,2,5,5,5,5,5,2,5,5,2,5,5,4,2,4,2,3,5,2,5,2,2,3,3,2,4,4,4,4,2,2,1,2,4,4,4,4,4,4,4,7,2,4,2,4,1,4,5,5,1,5,6,5,4,5,4,4,4,4,4,3,4,1,7,1,2,3,6,6,5,1,1,1,1,5,1,4,5,3,4,3,3,2,4,3,3,3,2,3,3,3,3,2,3,3,3,2,3,4,2,4,4,27,6,6,6,3,2,6,6,6,2,27,113,36,21,28,12,0.042,1.842,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,27,2,3,2,2,3,27
2,7,2,6,1,6,4,4,4,6,2,4,2,6,5,2,2,2,3,1,6,4,2,2,3,4,3,2,2,5,4,4,4,3,5,5,5,1,4,5,2,1,5,1,5,5,5,5,2,3,5,5,2,5,4,3,1,1,3,5,1,1,5,5,1,5,5,3,1,1,5,1,1,5,5,5,5,1,5,5,5,1,3,1,5,5,5,3,5,1,5,5,3,1,3,1,5,5,3,5,3,5,3,1,1,1,5,1,5,1,3,1,5,5,5,5,2,5,1,3,5,5,5,5,1,5,4,3,1,3,3,4,1,3,1,5,5,3,5,3,1,3,1,1,4,5,4,4,1,1,3,1,5,5,5,5,3,4,1,5,5,5,1,1,5,5,1,5,1,1,1,1,1,1,1,5,1,5,5,1,1,5,5,3,6,6,4,3,2,3,4,3,4,7,2,6,5,5,4,3,5,5,5,4,2,7,7,3,7,6,6,7,5,5,3,1,7,4,6,5,4,3,5,2,3,3,4,3,4,3,3,2,3,3,2,2,3,3,2,3,4,2,4,4,29,6,6,7,4,2,5,7,6,2,6,95,38,20,28,15,0.592,0.992,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,4,8,1,2,2,22,3,3,3,2,3,29
1,7,1,7,1,7,4,5,4,6,4,4,2,6,4,4,2,2,2,2,6,6,2,2,2,5,4,2,2,4,4,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,5,*,1,1,5,5,5,1,1,4,5,1,1,1,1,5,*,1,5,1,1,1,3,4,1,1,1,4,5,1,1,1,1,3,1,1,1,1,1,3,1,1,1,1,5,1,1,1,1,*,3,1,1,5,3,4,1,1,2,4,1,1,1,1,1,1,4,5,1,1,3,3,5,1,1,1,1,1,2,1,1,1,1,5,5,1,1,1,1,1,2,1,1,1,1,5,4,1,1,1,1,1,1,1,1,1,1,3,5,1,1,1,6,6,2,4,6,4,3,7,6,6,3,5,7,4,6,6,6,7,3,6,4,5,3,1,7,6,4,6,7,7,4,2,7,1,2,5,1,7,6,6,4,3,3,4,4,1,2,3,4,3,1,3,4,1,1,4,3,1,4,4,1,4,4,27,7,7,7,4,2,6,6,6,2,2,*,42,23,30,16,*,*,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,12,9,3,5,3,32,4,4,4,2,4,36
1,7,1,7,1,7,6,5,5,6,3,3,2,7,1,1,1,1,1,1,5,6,2,2,2,5,2,2,2,5,4,4,3,1,1,1,4,1,1,1,1,1,1,1,1,1,5,5,1,3,1,5,1,1,1,1,2,1,1,2,1,1,5,5,1,5,5,1,1,5,5,1,1,5,5,5,1,1,5,5,1,1,2,1,1,4,3,3,4,1,2,3,1,1,1,1,4,4,1,2,1,3,3,5,1,1,1,4,5,1,1,1,1,5,2,1,1,4,1,1,1,5,5,4,5,3,3,4,3,3,1,1,1,3,2,5,5,5,4,5,1,5,1,2,2,4,5,2,1,2,3,1,2,4,3,3,1,1,1,2,3,1,1,1,5,5,1,5,1,1,1,1,1,1,1,2,1,5,1,1,1,6,5,6,3,3,3,2,5,6,6,3,7,7,7,5,6,6,2,7,5,3,2,3,1,3,2,3,3,6,6,2,1,2,2,1,7,1,7,3,3,4,2,2,2,4,2,1,4,4,4,1,3,3,1,1,4,3,1,4,4,1,4,4,26,7,7,7,2,2,7,7,6,1,2,71,42,20,31,7,0.525,0.658,1,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,10,4,4,4,2,27,4,4,4,2,4,36
4,7,4,7,1,7,7,1,1,6,1,1,4,2,4,3,1,4,4,4,7,4,1,4,3,3,3,3,3,3,3,5,1,1,1,1,5,1,1,2,1,1,4,1,3,2,5,5,1,1,1,5,1,1,2,1,1,1,1,2,1,2,5,5,1,5,3,4,2,1,5,4,1,5,5,5,1,2,3,5,1,1,3,1,1,5,1,2,3,1,2,2,1,1,1,1,1,5,1,5,1,4,1,2,1,2,1,5,5,1,1,1,2,5,3,1,1,5,1,5,5,4,5,2,1,3,1,3,4,5,2,2,1,2,2,4,5,4,1,5,1,5,1,5,4,2,3,3,1,3,5,2,5,5,1,2,2,1,1,5,3,2,1,1,4,2,1,4,1,2,1,3,1,4,5,5,1,5,5,2,1,4,7,1,1,6,4,6,2,3,7,1,6,1,7,1,6,4,7,5,6,6,1,6,6,6,6,7,6,7,7,6,6,5,7,1,6,6,6,6,7,2,5,1,1,1,4,3,2,4,3,1,3,3,1,1,4,2,1,3,2,3,3,3,23,4,4,7,1,2,4,4,7,6,4,83,36,7,26,22,0.558,0.825,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,9,17,1,2,4,19,4,4,4,3,4,35
